id;agegrp;sex;age;time;address;name;year;dob;month;firstww;monarch;countbac
38;86+;female;0;1;0;0;0;1;1;0;0;1
39;76-85;female;1;1;1;1;1;1;1;1;1;1
40;76-85;female;0;1;0;0;1;0;0;0;0;0
41;66-75;female;0;0;0;0;0;0;0;0;0;0
42;66-75;female;1;1;1;1;1;1;1;0;1;1
43;86+;female;1;1;0;1;1;1;1;0;1;1
44;76-85;female;1;1;1;1;1;1;1;1;1;1
45;76-85;male;1;0;0;1;0;1;1;1;0;1
46;86+;female;1;1;0;1;1;1;1;1;1;1
47;86+;male;1;1;0;1;1;1;0;0;0;0
48;76-85;female;0;1;0;1;1;1;1;1;1;0
49;86+;female;1;1;1;1;1;1;1;1;0;0
50;76-85;male;1;1;1;1;1;1;1;1;1;0
51;86+;female;0;0;1;0;1;0;0;0;1;1
52;76-85;male;1;1;0;1;1;0;0;0;1;0
53;76-85;female;1;1;1;1;1;1;1;1;1;1
54;86+;female;1;1;1;1;1;1;1;1;1;1
55;86+;female;0;0;0;0;0;0;0;0;0;0
56;76-85;male;1;1;1;1;1;1;1;1;1;1
57;66-75;male;1;0;0;1;1;1;0;1;1;1
58;76-85;female;1;1;1;1;1;1;1;1;1;1
59;66-75;female;1;1;1;1;1;1;1;1;1;1
60;66-75;male;1;1;0;1;1;1;1;1;1;1
61;76-85;female;1;1;0;1;1;1;1;0;1;1
62;76-85;female;1;1;0;1;1;1;1;1;0;1
63;76-85;female;0;NA;1;0;0;1;0;0;0;0
64;76-85;female;1;1;1;1;1;1;1;1;1;1
65;76-85;male;1;1;1;1;1;1;1;1;1;1
66;76-85;female;0;0;0;0;0;1;0;0;0;0
67;76-85;female;1;1;0;1;0;1;1;0;1;1
68;76-85;female;1;1;1;1;1;1;1;0;1;1
69;66-75;male;1;1;0;1;1;1;1;1;1;1
70;76-85;female;0;0;0;0;1;1;0;1;0;1
71;66-75;male;1;0;0;0;0;0;0;1;1;0
72;76-85;female;1;0;0;1;1;1;1;0;0;1
73;76-85;male;1;1;1;1;1;1;1;1;1;1
74;66-75;male;1;1;0;1;1;1;1;1;1;1
75;66-75;male;1;1;1;1;1;1;1;1;1;1
76;76-85;female;1;1;1;1;1;1;0;1;1;1
77;76-85;female;1;1;0;0;1;1;0;1;0;1
78;86+;male;1;1;0;0;1;1;0;1;0;0
79;66-75;female;1;1;0;1;1;1;1;1;1;1
80;86+;female;1;1;0;1;1;1;1;1;1;1
81;66-75;male;1;1;1;1;1;1;1;1;1;1
82;66-75;female;1;1;1;1;1;1;1;1;1;1
83;76-85;female;1;0;1;1;1;1;1;0;1;1
84;66-75;male;1;0;0;0;1;1;0;1;1;1
85;86+;female;1;1;0;0;0;1;0;0;0;0
86;86+;female;1;0;1;0;0;1;1;1;1;0
87;76-85;male;1;1;1;1;1;1;1;1;1;1
88;86+;male;1;1;0;1;1;1;1;1;1;1
89;66-75;male;1;1;1;1;1;1;1;1;1;1
90;76-85;male;1;1;1;1;1;1;1;1;1;1
91;76-85;female;1;1;1;1;1;1;1;1;1;1
92;76-85;male;1;1;1;1;0;0;1;1;1;1
93;86+;female;1;0;1;1;1;1;1;1;1;1
94;66-75;female;1;1;1;1;1;1;1;1;1;1
95;76-85;male;1;1;0;1;1;1;1;1;1;1
96;86+;female;1;1;0;1;1;1;1;1;1;1
97;76-85;female;1;1;0;1;1;1;1;1;1;1
98;76-85;female;0;0;0;1;1;1;0;1;1;1
99;76-85;female;1;1;1;0;1;1;1;1;0;0
100;86+;female;0;0;0;0;0;1;0;0;0;1
101;66-75;male;1;1;1;1;1;1;1;1;1;1
102;86+;male;1;0;1;1;1;1;1;1;1;1
103;76-85;female;1;1;0;1;1;1;1;1;1;0
104;76-85;female;1;0;0;1;0;0;0;0;0;1
105;76-85;female;1;1;0;1;1;1;1;1;1;1
106;76-85;female;1;1;1;1;1;1;1;1;1;1
107;76-85;female;1;1;0;1;1;1;1;1;1;1
108;76-85;female;0;0;0;1;0;0;0;0;0;1
109;76-85;female;1;1;1;1;1;1;1;1;1;1
110;86+;female;0;0;0;0;0;1;0;0;0;0
111;86+;female;0;0;0;0;0;0;0;0;0;0
112;86+;female;1;1;1;1;1;1;1;1;1;1
113;76-85;female;1;1;1;1;1;1;1;1;1;1
114;86+;female;0;0;0;1;0;1;1;1;1;1
115;86+;female;0;0;1;0;0;0;0;1;0;1
116;86+;female;1;1;1;1;0;1;1;1;0;0
117;86+;female;1;1;1;1;1;1;1;1;1;1
118;86+;female;1;1;1;1;1;1;1;1;1;0
119;76-85;female;1;1;1;1;1;1;1;1;1;1
120;76-85;female;1;0;0;0;0;1;0;1;1;1
121;76-85;male;1;1;0;0;0;0;0;1;0;0
122;86+;female;1;1;1;1;1;1;1;0;0;0
123;86+;female;1;1;1;1;1;1;1;0;1;1
124;86+;female;1;0;0;1;1;1;0;1;1;0
125;76-85;male;1;0;0;1;0;1;1;1;1;1
126;86+;female;0;1;0;1;0;1;0;1;1;0
127;76-85;female;0;0;0;0;0;1;0;0;0;0
128;76-85;female;0;0;0;0;0;0;0;0;0;0
129;76-85;female;0;1;0;0;0;1;0;1;0;1
130;76-85;female;1;1;0;1;0;1;0;1;0;0
131;86+;female;1;1;0;1;1;0;1;1;1;0
132;66-75;male;1;0;0;1;1;1;0;0;1;1
133;76-85;female;1;1;0;1;1;1;1;1;1;1
134;76-85;female;1;1;1;1;1;1;1;1;1;1
135;76-85;female;1;1;0;1;1;1;1;1;1;1
136;86+;male;1;0;1;1;0;1;0;0;1;0
137;76-85;female;1;0;1;1;1;1;1;1;1;1
138;76-85;female;1;1;1;1;1;1;1;1;1;1
139;86+;female;1;1;0;1;1;1;1;1;1;1
140;66-75;female;1;1;1;1;1;1;1;1;1;1
141;86+;female;0;0;0;0;0;0;0;0;1;0
142;76-85;female;1;1;0;0;0;1;0;1;0;1
143;76-85;male;1;1;0;1;1;1;1;1;1;1
144;76-85;female;0;1;0;0;0;1;1;1;0;0
145;86+;female;1;1;0;1;1;1;1;1;1;1
146;76-85;male;1;0;1;1;1;1;1;1;1;1
147;76-85;male;0;1;0;1;1;1;1;1;1;1
148;76-85;male;0;1;1;1;1;1;0;1;1;1
149;86+;female;1;0;0;0;0;1;0;0;0;0
150;86+;female;0;0;0;1;0;1;1;1;1;1
151;86+;female;1;1;1;1;1;1;1;1;1;0
152;86+;female;1;1;0;1;0;1;1;0;0;1
153;86+;female;1;1;0;1;1;1;1;1;0;1
154;76-85;female;1;0;0;0;1;0;0;0;0;0
155;86+;female;1;0;0;1;1;1;1;0;1;1
156;86+;male;1;1;0;1;1;1;1;1;0;1
157;76-85;female;1;1;0;1;1;1;0;1;1;0
158;76-85;female;1;0;0;1;0;1;0;1;1;0
159;76-85;female;0;1;0;1;1;1;0;0;0;1
160;76-85;female;1;1;0;1;0;1;1;0;0;1
161;76-85;female;1;1;0;1;1;1;1;1;1;1
162;86+;male;1;1;1;0;1;1;0;1;0;0
163;76-85;female;1;1;1;1;1;1;1;1;1;0
164;86+;female;1;1;0;0;0;1;1;1;0;1
165;76-85;male;1;1;1;1;1;1;1;1;1;1
166;86+;female;1;1;0;0;0;1;1;1;0;0
167;86+;female;0;1;0;1;0;1;0;0;0;0
168;86+;female;1;1;0;1;1;1;1;1;1;1
169;76-85;male;1;1;1;1;1;1;1;1;1;1
170;86+;female;1;1;1;0;1;1;1;1;1;1
171;86+;female;1;1;0;0;1;1;1;0;1;1
172;86+;male;1;1;1;1;1;1;1;1;0;0
173;86+;female;0;0;0;1;0;1;0;0;0;0
174;76-85;female;1;1;0;1;1;1;1;1;1;1
175;76-85;female;1;1;0;1;1;1;1;1;1;1
176;86+;male;1;1;0;1;1;1;1;1;1;1
177;76-85;male;1;1;1;1;0;1;1;1;1;0
178;76-85;male;1;1;0;1;1;1;1;1;1;0
179;76-85;male;0;0;0;0;0;0;0;1;1;1
180;76-85;female;1;1;0;1;1;1;1;1;1;1
181;76-85;female;1;1;1;1;1;1;0;1;1;1
182;76-85;female;1;1;0;1;1;1;1;1;1;1
183;76-85;female;1;1;1;1;1;1;1;1;1;1
184;76-85;male;1;1;0;1;1;1;1;1;1;0
185;86+;female;1;1;0;1;1;1;0;1;0;0
186;76-85;male;1;1;0;0;1;1;1;1;1;1
187;76-85;male;0;0;0;1;1;1;0;1;0;0
188;66-75;female;1;1;1;1;1;1;1;1;1;1
189;86+;female;0;0;0;0;0;1;0;0;0;0
190;76-85;female;1;1;0;1;0;1;1;1;1;0
191;86+;female;1;1;1;1;0;1;1;0;1;1
192;76-85;female;1;1;1;1;1;1;1;1;1;1
193;76-85;female;1;1;1;1;1;1;1;1;1;1
195;76-85;female;1;1;1;1;0;1;1;0;1;1
197;66-75;male;1;1;0;1;1;1;1;1;1;0
199;76-85;female;1;0;0;0;1;0;0;0;0;0
201;66-75;male;1;1;1;1;1;1;1;1;1;1
